sampno,veh_id,veh_num,year,make,make_other,make_clean,model,model_other,model_clean,fuel_type,fuel_type_clean,vehicle_type,vehicle_type_clean,vehicle_status,how_acquired,acquired_year,acquired_month,annual_mileage,electric_miles,mpg,current_use,other_use,tnc_replacement,delivery_replacement,veh_home,personal_use,personal_miles,hv_replacement,fcev_fuel_cost
190646,190646.01,1,2009,ACURA, ,ACURA,,,,1,1.0,8,8, ,1,2009, ,7500, ,14,2, ,2,2,2, , ,300, 
190649,190649.03,3,2019,NISSAN, ,NISSAN,,,,1,1.0,10,10, ,1,2019,2,10700, ,25,6,supervising out in the field,2,2,2, , ,75, 
190657,190657.01,1,2017,FORD, ,FORD,,,,1,1.0,8,8, ,1,2017, ,25000, ,20,2, ,2,2,1,1,10,45, 
190840,190840.01,1,2012,GMC, ,GMC,,,,1,1.0,13,13, ,1,2012, ,11000, ,15,1, ,2,2,2, , ,100, 
190962,190962.01,1,2015,GMC, ,GMC,,,,1,1.0,11,11, ,1,2015, ,8000, ,15,1, ,2,2,2, , ,300, 
190963,190963.01,1,2002,CHEVROLET, ,CHEVROLET,,,,1,1.0,9,9, ,1,2002, ,12000, ,16,1, ,2,1,2, , ,35, 
190963,190963.02,2,2014,FORD, ,FORD,,,,1,1.0,11,11, ,1,2014, ,15000, ,16,1, ,2,1,2, , ,35, 
190964,190964.01,1,2018,TESLA, ,TESLA,,,,5,4.0,3,3, ,3,2018,4,15000, ,126,3, ,2,2,1,1,10, , 
190964,190964.02,2,2007,FORD, ,FORD,,,,1,1.0,13,13, ,3,2014, ,30000, ,11,6,Delivery and installation,2,2,2, , ,400, 
190960,190960.01,1,2017,TESLA, ,TESLA,,,,5,4.0,6,6, ,1,2017, ,10000, ,92,5, ,2,2,1,1,6, , 
190960,190960.02,2,2018,TESLA, ,TESLA,,,,5,4.0,3,3, ,1,2018,2,9000, ,130,6,"combination transporting employees, equipment",2,2,1,1,2, , 
190960,190960.03,3,2014,BMW, ,BMW,,,,5,4.0,1,1, ,3,2017, ,1200, ,124,2, ,2,2,1,1,8, , 
190968,190968.01,1,2013,FORD, ,FORD,,,,1,1.0,10,10, ,1,2013, ,5000, ,24,5, ,2,2,2, , ,150, 
190968,190968.02,2,2011,DODGE, ,DODGE,,,,8,6.0,11,11, ,1,2011, ,5000, ,23,5, ,2,2,1,1,25,150, 
190968,190968.03,3,2011,TOYOTA, ,TOYOTA,,,,1,1.0,12,12, ,1,2011, ,5000, ,23,5, ,2,2,1,1,25,150, 
190970,190970.01,1,2004,DODGE, ,DODGE,,,,1,1.0,13,13, ,3,2006, ,5000, ,12,1, ,2,2,2, , ,100, 
190973,190973.01,1,2016,TOYOTA, ,TOYOTA,,,,1,1.0,10,10, ,3,2017, ,12000, ,16,5, ,2,2,1,2, ,350, 
190974,190974.01,1,2016,TESLA, ,TESLA,,,,5,4.0,6,6, ,1,2016, ,9000, ,90,6,SITE TO SITE TRANSPORTATION,2,2,1,2, , , 
190976,190976.01,1,2019,LEXUS, ,LEXUS,,,,1,1.0,8,8, ,2,2018,1,10000, ,25,1, ,2,2,1,1,30,60, 
190976,190976.02,2,2019,JAGUAR, ,JAGUAR,,,,1,1.0,8,8, ,1,2018,1,7000, ,20,2, ,2,2,1,2, ,40, 
190981,190981.01,1,2012,NISSAN, ,NISSAN,,,,1,1.0,7,7, ,1,2012, ,12000, ,32,2, ,2,1,2, , ,15, 
190985,190985.01,1,2016,TOYOTA, ,TOYOTA,,,,1,1.0,12,12, ,1,2016, ,25000, ,22,6,transportation to and from work/errands,2,2,1,1,45,200, 
190987,190987.01,1,2014,NISSAN, ,NISSAN,,,,5,4.0,2,2, ,3,2017, ,10000, ,100,3, ,2,2,2, , , , 
190847,190847.01,1,2018,TESLA, ,TESLA,,,,5,4.0,3,3, ,1,2018,7,15000, ,40,2, ,2,2,2, , , , 
190848,190848.01,1,2016,TOYOTA, ,TOYOTA,,,,2,2.0,1,1, ,1,2016, ,20000, ,45,1, ,2,2,2, , , , 
190848,190848.02,2,2016,FORD, ,FORD,,,,1,1.0,13,13, ,1,2016, ,20000, ,18,1, ,2,2,2, , ,250, 
190855,190855.01,1,2018,TOYOTA, ,TOYOTA,,,,1,1.0,13,13, ,1,2018,4,20000, ,17,4, ,2,2,1,1,20,200, 
190855,190855.02,2,2015,TOYOTA, ,TOYOTA,,,,1,1.0,12,12, ,1,2014, ,20000, ,17,1, ,1,1,2, , ,200, 
190855,190855.03,3,2018,MERCEDES-BENZ, ,MERCEDES-BENZ,,,,4,3.0,11,11, ,1,2018,1,20000, ,20,5, ,1,2,1,1,20,200, 
190855,190855.04,4,2018,TOYOTA, ,TOYOTA,,,,1,1.0,13,13, ,1,2019,6,20000, ,21,2, ,2,2,2, , ,200, 
190855,190855.05,5,2018,TOYOTA, ,TOYOTA,,,,1,1.0,13,13, ,2,2016, ,20000, ,17,1, ,2,2,2, , ,200, 
190856,190856.01,1,2018,RAM, ,RAM,,,,1,1.0,11,11, ,1,2019,10,25000, ,18,4, ,2,2,1,1,10,300, 
190856,190856.02,2,2019,TOYOTA, ,TOYOTA,,,,2,2.0,2,2,1,1,2019,2,25000, ,70,3, ,2,2,1,1,10, , 
190856,190856.03,3,2019,RAM, ,RAM,,,,1,1.0,13,13, ,1,2019,10,20000, ,16,4, ,2,2,1,1,10,300, 
190856,190856.04,4,2019,HYUNDAI, ,HYUNDAI,,,,1,1.0,6,6, ,1,2019,3,25000, ,24,3, ,2,2,1,1,10,300, 
190856,190856.05,5,2019,TOYOTA, ,TOYOTA,,,,3,8.0,2,2, ,1,2019,4,25000,100,80,3, ,2,2,1,1,10,300, 
190860,190860.01,1,2014,FORD, ,FORD,,,,1,1.0,13,13, ,1,2014, ,25000, ,20,1, ,2,2,2, , ,25, 
190860,190860.02,2,2013,FORD, ,FORD,,,,1,1.0,13,13, ,1,2013, ,25000, ,20,1, ,2,2,2, , ,25, 
190860,190860.03,3,2006,FORD, ,FORD,,,,1,1.0,13,13, ,1,2006, ,25000, ,22,1, ,2,2,2, , ,25, 
190860,190860.04,4,2013,FORD, ,FORD,,,,1,1.0,13,13, ,1,2013, ,25000, ,22,1, ,2,2,2, , ,25, 
190860,190860.05,5,2013,FORD, ,FORD,,,,1,1.0,13,13, ,1,2013, ,25000, ,20,1, ,2,2,2, , ,25, 
190891,190891.01,1,2003,DODGE, ,DODGE,,,,1,1.0,13,13, ,1,2003, ,10000, ,14,1, ,2,2,2, , ,30, 
190891,190891.02,2,2008,DODGE, ,DODGE,,,,1,1.0,13,13, ,1,2008, ,10000, ,12,1, ,2,2,2, , ,30, 
190891,190891.03,3,2005,DODGE, ,DODGE,,,,1,1.0,13,13, ,1,2005, ,10000, ,12,1, ,2,2,2, , ,30, 
190891,190891.04,4,2002,DODGE, ,DODGE,,,,1,1.0,13,13, ,1,2002, ,10000, ,12,1, ,2,2,2, , ,30, 
190891,190891.05,5,2004,FORD, ,FORD,,,,1,1.0,13,13, ,3,2016, ,10000, ,12,1, ,2,2,1,1,50,30, 
191210,191210.01,1,2005,FORD, ,FORD,,,,1,1.0,13,13, ,1,2005, ,1000, ,20,6,Ranch work,2,2,2, , ,100, 
191210,191210.02,2,2018,GMC, ,GMC,,,,4,3.0,13,13,1,1,2017, ,17000, ,16,5, ,2,2,1,1,40,200, 
191210,191210.03,3,2011,CHEVROLET, ,CHEVROLET,,,,1,1.0,13,13, ,3,2013, ,14000, ,15,5, ,2,2,1,1,40,100, 
190865,190865.01,1,2018,NISSAN, ,NISSAN,,,,5,4.0,2,2, ,1,2018,8,6000, ,25,3, ,2,2,2, , , , 
190871,190871.01,1,2012,GMC, ,GMC,,,,1,1.0,13,13, ,3,2013, ,6000, ,16,2, ,2,2,1,1,20,500, 
190868,190868.01,1,2017,TOYOTA, ,TOYOTA,,,,3,8.0,2,2, ,1,2018,5,10000,80,110,2, ,2,2,1,1,50,90, 
190893,190893.01,1,1996,TOYOTA, ,TOYOTA,,,,1,1.0,12,12, ,3,2005, ,1000, ,20,5, ,2,2,2, , ,50, 
191744,191744.01,1,2019,BUICK, ,BUICK,,,,1,1.0,6,6, ,1,2019,1,35000, ,21,2, ,2,2,1,1,20,300, 
191744,191744.02,2,2018,FORD, ,FORD,,,,1,1.0,8,8, ,1,2018,4,15000, ,22,2, ,2,2,1,1,15,300, 
190893,190893.02,2,2001,TOYOTA, ,TOYOTA,,,,1,1.0,13,13, ,3,2018,6,2000, ,20,6,most of the above,2,2,2, , ,60, 
190893,190893.03,3,1990,FORD, ,FORD,,,,1,1.0,13,13, ,1,1990, ,500, ,20,5, ,2,2,2, , ,60, 
190898,190898.01,1,2009,FORD, ,FORD,,,,1,1.0,6,6, ,3,2012, ,18000, ,18,2, ,2,2,1,1,20,100, 
190898,190898.02,2,2007,FORD, ,FORD,,,,1,1.0,12,12, ,3,2010, ,18000, ,16,2, ,2,2,1,1,20,100, 
190899,190899.01,1,2019,FORD, ,FORD,,,,1,1.0,10,10, ,1,2019,2,15000, ,24,1, ,2,2,2, , ,400, 
190899,190899.02,2,2018,HYUNDAI, ,HYUNDAI,,,,1,1.0,3,3, ,1,2018,5,16000, ,28,3, ,2,2,1,2, ,400, 
190899,190899.03,3,2013,DODGE, ,DODGE,,,,1,1.0,10,10,1,3,2016, ,15000, ,24,1, ,2,2,2, , ,400, 
190899,190899.04,4,2019,FORD, ,FORD,,,,1,1.0,10,10, ,1,2019,1,15000, ,24,1, ,2,2,2, , ,400, 
190899,190899.05,5,2013,FORD, ,FORD,,,,1,1.0,10,10, ,1,2013, ,15000, ,24,1, ,2,2,2, , ,400, 
191075,191075.01,1,2000,DODGE, ,DODGE,,,,1,1.0,11,11, ,1,2000, ,4600, ,10,5, ,2,2,2, , ,100, 
190904,190904.01,1,2005,FORD, ,FORD,,,,1,1.0,13,13, ,1,2005, ,10000, ,15,5, ,2,2,1,1,45,100, 
190841,190841.01,1,2013,MERCEDES-BENZ, ,MERCEDES-BENZ,,,,4,3.0,11,11, ,1,2014, ,20000, ,20,6,Transport disabled,2,2,2, , ,350, 
190909,190909.01,1,2000,TOYOTA, ,TOYOTA,,,,1,1.0,13,13, ,3,2015, ,10000, ,15,5, ,2,1,2, , ,200, 
190909,190909.02,2,2016,FORD, ,FORD,,,,1,1.0,3,3, ,2,2016, ,20000, ,35,2, ,2,2,1,1,25,300, 
190918,190918.01,1,2018,FORD, ,FORD,,,,1,1.0,11,11, ,3,2019,5,8000, ,15,5, ,2,2,1,1,25,225, 
190918,190918.02,2,2013,TOYOTA, ,TOYOTA,,,,1,1.0,12,12, ,3,2018,6,8000, ,18,5, ,2,2,1,1,30,225, 
190918,190918.03,3,2008,CHEVROLET, ,CHEVROLET,,,,1,1.0,11,11, ,3,2010, ,6000, ,11,5, ,2,2,2, , ,225, 
190918,190918.04,4,1998,TOYOTA, ,TOYOTA,,,,1,1.0,12,12, ,3,2003, ,5000, ,20,5, ,2,2,1,1,20,225, 
190912,190912.01,1,1996,MERCURY, ,MERCURY,,,,1,1.0,10,10, ,3,2001, ,2000, ,20,2, ,2,2,2, , ,40, 
190926,190926.01,1,2018,AUDI, ,AUDI,,,,3,8.0,2,2, ,2,2018,1,10000,50,32,3, ,2,2,2, , ,300, 
190926,190926.02,2,2019,SUBARU, ,SUBARU,,,,1,1.0,4,4, ,2,2018,9,10000, ,26,3, ,2,2,2, , ,300, 
190924,190924.01,1,2015,FORD, ,FORD,,,,1,1.0,13,13, ,3,2017, ,25000, ,20,2, ,2,2,1,2, ,20, 
190924,190924.02,2,2015,FORD, ,FORD,,,,1,1.0,13,13,1,3,2017, ,25000, ,17,2, ,2,2,1,2, ,20, 
190924,190924.03,3,2007,GMC, ,GMC,,,,1,1.0,11,11, ,3,2017, ,8000, ,20,2, ,2,2,2, , ,25, 
190935,190935.01,1,2019,FORD, ,FORD,,,,1,1.0,13,13, ,1,2019,3,18000, ,20,3, ,2,2,1,2, ,250, 
190935,190935.02,2,2015,TOYOTA, ,TOYOTA,,,,2,2.0,3,3, ,1,2014, ,8000, ,38,2, ,2,2,1,2, , , 
190935,190935.03,3,2006,FORD, ,FORD,,,,1,1.0,11,11, ,1,2006, ,4000, ,15,5, ,2,2,2, , ,250, 
190935,190935.04,4,2018,TOYOTA, ,TOYOTA,,,,1,1.0,13,13, ,1,2017, ,12000, ,18,5, ,2,2,1,2, ,250, 
190935,190935.05,5,2016,CHEVROLET, ,CHEVROLET,,,,1,1.0,13,13, ,1,2016, ,25000, ,12,5, ,2,2,2, , ,250, 
190932,190932.01,1,2016,HONDA, ,HONDA,,,,1,1.0,3,3, ,3,2019,3,12000, ,24,3, ,2,2,1,1,10,350, 
190932,190932.02,2,2017,FORD, ,FORD,,,,1,1.0,11,11, ,1,2017, ,25000, ,12,5, ,2,2,2, , ,550, 
190948,190948.01,1,2018,CHEVROLET, ,CHEVROLET,,,,1,1.0,10,10, ,1,2019,5,5000, ,10,2, ,1,1,1,1,50,500, 
190948,190948.02,2,2017,ASTON MARTIN, ,ASTON MARTIN,,,,1,1.0,1,1, ,4,2018,4,5000, ,50,2, ,1,1,1,1,50,500, 
190950,190950.01,1,2012,FORD, ,FORD,,,,1,1.0,13,13, ,1,2012, ,25000, ,19,2, ,2,2,1,2, ,350, 
190950,190950.02,2,2011,FORD, ,FORD,,,,1,1.0,11,11, ,1,2011, ,25000, ,14,2, ,2,2,2, , ,350, 
190950,190950.03,3,2014,FORD, ,FORD,,,,1,1.0,3,3, ,1,2015, ,15000, ,20,2, ,2,2,1,2, ,350, 
190950,190950.04,4,2010,FORD, ,FORD,,,,1,1.0,13,13, ,1,2010, ,25000, ,19,2, ,2,2,1,2, ,350, 
190950,190950.05,5,2011,FORD, ,FORD,,,,1,1.0,11,11, ,1,2011, ,25000, ,14,2, ,2,2,2, , ,350, 
191061,191061.01,1,2013,NISSAN, ,NISSAN,,,,5,4.0,2,2, ,2,2013, ,10000, ,132,3, ,2,2,1,1,30, , 
